Instrument,Anonymized Lot,4 digit Seq,Customer Lot,Failure Date,Type of Procedures,Remaining Uses,Experience of Surgeon who performed Last Surgery(in Years),Experience Level
INS-001,LOT001,0190,LOT001-0190,12/18/2023,Salpingo-Oophorectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Other Reconstuctive|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Nephrectomy|Other Urology,8,13,M
INS-001,LOT002,0488,LOT002-0488,1/2/2024,Nephrectomy|Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Salpingo-Oophorectomy|Salpingo-Oophorectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,7,18,H
INS-002,LOT003,0283,LOT003-0283,1/2/2024,Hysterectomy - Malignant|Hysterectomy - Benign|Other Urology|Other Gynecology|Hysterectomy - Malignant|Salpingo-Oophorectomy|Hysterectomy - Malignant|Ventral Hernia TAPP|Hysterectomy - Malignant|Hysterectomy - Malignant,5,8,L
INS-003,LOT004,0009,LOT004-0009,1/2/2024,Hysterectomy - Malignant|Hysterectomy - Malignant|Hysterectomy - Malignant|Hysterectomy - Benign|Hysterectomy - Malignant,5,8,L
INS-004,LOT005,0245,LOT005-0245,1/2/2024,Hysterectomy - Benign|Nephrectomy,12,13,M
INS-004,,0126,-126,1/3/2024,,0,,L
INS-002,LOT006,0337,LOT006-0337,1/2/2024,Inguinal Hernia eTEP - Unilateral|Umbilical Hernia TAPP|Inguinal Hernia - Unilateral|Inguinal Hernia - Bilateral|Inguinal Hernia - Unilateral|Inguinal Hernia - Bilateral|Other General Surgery,8,13,M
INS-005,LOT002,0409,LOT002-0409,1/3/2024,,0,,L
INS-006,LOT007,0270,LOT007-0270,1/3/2024,,0,,L
INS-007,LOT008,0000,,12/29/2023,,0,,L
INS-005,LOT009,0099,LOT009-0099,1/8/2024,,0,,L
INS-001,LOT002,0487,LOT002-0487,1/9/2024,Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Hysterectomy - Malignant|Nephrectomy|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Salpingo-Oophorectomy|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy,6,13,M
INS-001,LOT010,0183,LOT010-0183,1/9/2024,Other Gynecology|Other Gynecology|Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Ventral Hernia TAPP|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Inguinal Hernia - Unilateral|Endometriosis Resection|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,1,9,M
INS-008,LOT011,0556,LOT011-0556,1/9/2024,Low Anterior Resection (LAR)|Parastomal Hernia Repair|Other Reconstuctive|Prostatectomy - Radical w/ Lymphadenectomy|Low Anterior Resection (LAR)|Other Gynecology|Low Anterior Resection (LAR)|Nephroureterectomy|Other Urology,1,9,M
INS-009,LOT012,0235,LOT012-0235,1/9/2024,Low Anterior Resection (LAR)|Low Anterior Resection (LAR)|Other Colorectal|Hemicolectomy - Right|Low Anterior Resection (LAR)|Other General Surgery|Ileocecal Resection|Hemicolectomy - Left,2,18,H
INS-009,LOT013,0015,LOT013-0015,1/11/2024,Other Urology|Sigmoid Colectomy|Hemicolectomy - Left|Ileocolic Resection,2,18,H
